a,b,agreement
global,e1,0.9485
global,e2,0.9714
global,e3,0.9689
global,e4,0.9708
global,e5,0.9711
global,e6,0.9559
global,e7,0.9804
e1,e2,0.9591
e1,e3,0.9586
e1,e4,0.9598
e1,e5,0.9605
e1,e6,0.9493
e1,e7,0.9553
e2,e3,0.9884
e2,e4,0.9856
e2,e5,0.9934
e2,e6,0.9745
e2,e7,0.9845
e3,e4,0.9835
e3,e5,0.9904
e3,e6,0.9718
e3,e7,0.9842
e4,e5,0.9886
e4,e6,0.9692
e4,e7,0.9822
e5,e6,0.9754
e5,e7,0.9851
e6,e7,0.9701
