class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
backdoor,40030,39992,18,0,20,2
benign,1474302,1256392,0,1067,216843,0
ddos,103338,99788,9,0,3541,96
dos,22458,21910,88,0,460,102
injection,68891,66228,15,0,2648,103
mitm,1161,1063,1,0,97,0
password,210951,210362,12,0,577,4
ransomware,709,648,0,0,61,8
scanning,6029,497,1867,0,3665,2
xss,343854,306812,22312,0,14730,7541
