class,rows,proposed,accepted
backdoor,40030,22652,60
benign,1474302,185778,1745
ddos,103338,92622,819
dos,22458,6265,299
injection,68891,13254,138
mitm,1161,28,1
password,210951,22205,249
ransomware,709,80,8
scanning,6029,2416,2164
xss,343854,108052,30382
