K,beta,tune_expert_balanced_nll
2,0.0,0.896011
2,0.5,1.79342
2,1.0,3.495784
4,0.0,1.008518
4,0.5,2.28505
4,1.0,4.481402
8,0.0,1.12586
8,0.5,2.552292
8,1.0,5.004139
