expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,260350,normgain,0.9757,1333,4982,0.7487,0.821
2,260350,normgain,0.9826,722,3805,0.7884,0.8506
3,260350,normgain,0.974,1375,5385,0.7019,0.8189
4,260350,normgain,0.9785,842,4747,0.7651,0.8675
5,260350,normgain,0.9823,967,3629,0.7279,0.8468
6,260350,normgain,0.9671,2225,6339,0.7658,0.8007
7,260350,normgain,0.9727,1574,5525,0.7696,0.8681
