expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.5717,0.0072,0.7053
2,0.7944,0.0605,0.545
3,0.5997,0.0448,0.7241
4,0.2937,0.0,1.2095
5,0.5764,0.0022,0.6721
6,0.3227,0.0024,1.1474
7,0.3302,0.0033,0.9963
