expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,brute_force,target known,dos,67232,100000,0.67232
flood,ddos,target known,ddos,99818,100000,0.99818
flood,dos,target known,dos,60095,60594,0.9917648612073803
flood,infiltration,target known,dos,10,37631,0.00026573835401663524
flood,web_attacks,target known,ddos,2,509,0.003929273084479371
flood,benign_diagnostic,benign diagnostic,ddos,2153,100000,0.02153
flood,benign_diagnostic,benign diagnostic,dos,190,100000,0.0019
brute_force,brute_force,target known,brute_force,99994,100000,0.99994
brute_force,dos,target known,brute_force,21110,60594,0.3483843284813678
tail,dos,target known,infiltration,1,60594,1.6503284153546556e-05
tail,infiltration,target known,infiltration,36381,37631,0.9667827057479206
tail,web_attacks,target known,infiltration,3,509,0.005893909626719057
tail,unseen::bot,target unseen,infiltration,617,41542,0.014852438495979971
tail,benign_diagnostic,benign diagnostic,infiltration,74253,100000,0.74253
