role,branch,count,share_of_role,accuracy
known,all_out,1675,0.005606994851607115,0.0
known,argmin,114517,0.383341032490443,0.804631626745374
known,owner_only,182542,0.6110519726579499,0.9957927490659684
known,ALL,298734,1.0,0.9169294422462793
unseen,all_out,2,4.8144046988589864e-05,1.0
unseen,argmin,617,0.014852438495979971,0.0
unseen,owner_only,40923,0.9850994174570314,0.0
unseen,ALL,41542,1.0,4.8144046988589864e-05
benign,all_out,507,0.00507,0.0
benign,argmin,71261,0.71261,0.27515751954084283
benign,owner_only,28232,0.28232,0.8808798526494758
benign,ALL,100000,1.0,0.44477
