class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3498463,0,0,4463,0
bot,41542,41418,0,0,124,0
brute_force,115040,115020,0,0,20,0
ddos,264872,257715,0,0,7157,0
dos,60594,38846,0,0,21748,0
infiltration,37631,10176,0,0,27455,0
web_attacks,509,392,0,0,117,0
