class,support,mean_delta,pct_delta_negative,owner_expert
benign,454537,0.07722555868633335,13.652353933783168,Benign
dos-hulk,46025,-0.11058943030679984,89.25801195002717,DoS
portscan,31786,-0.1314083928144603,91.1690681432077,DDoS_Scan
ddos,25606,-0.17069306960015893,97.59040849800827,DDoS_Scan
dos-goldeneye,2059,-0.027925431527196946,59.10636231180184,DoS
ftp-patator,1588,-0.11624870351716093,89.04282115869017,BruteForce
ssh-patator,1179,-0.1075452807925334,80.3223070398643,BruteForce
dos-slowloris,1159,-0.09352750068523086,77.30802415875755,DoS
dos-slowhttptest,1100,-0.11995322269447108,90.45454545454545,DoS
bot,393,-0.04989841853970524,98.72773536895674,WebBot
web-attack-�-brute-force,302,-0.09149113801913987,94.70198675496688,WebBot
web-attack-�-xss,130,-0.11492329594503922,94.61538461538461,WebBot
infiltration,7,-0.052611296561414486,85.71428571428571,Tail
web-attack-�-sql-injection,4,-0.08363952292694429,100.0,Tail
heartbleed,2,-0.03307758773064434,100.0,Tail
