mode,level,true_class,support,expert,owner,pred_x,conf_x,pred_xa,conf_xa,flip_rate
gaussian,0.2,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9784223437309265,0.0
gaussian,0.2,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-goldeneye,0.7430650591850281,0.6993103448275862
gaussian,0.2,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9426096677780151,0.37103448275862067
gaussian,0.2,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.9983857870101929,0.1803448275862069
gaussian,0.2,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8564079999923706,0.22931034482758622
gaussian,0.2,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,web-attack-�-sql-injection,0.6819406747817993,0.4703448275862069
gaussian,0.2,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9656740427017212,0.0
gaussian,0.2,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7340959310531616,0.65
gaussian,0.2,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9517657160758972,0.3555555555555555
gaussian,0.2,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ftp-patator,0.9978212118148804,0.4833333333333334
gaussian,0.2,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,bot,0.814561665058136,0.6722222222222223
gaussian,0.2,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.7167426943778992,0.3555555555555555
gaussian,0.2,bot,5,Benign,False,benign,0.9559530019760132,benign,0.9818010330200195,0.0
gaussian,0.2,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-goldeneye,0.6916510462760925,0.5800000000000001
gaussian,0.2,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,portscan,0.9782754182815552,0.62
gaussian,0.2,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9987824559211731,0.06000000000000001
gaussian,0.2,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.8563324213027954,0.08
gaussian,0.2,bot,5,Tail,False,infiltration,0.9367480278015137,web-attack-�-sql-injection,0.6286552548408508,0.6
gaussian,0.5,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9874768257141113,0.0
gaussian,0.5,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-goldeneye,0.7170933485031128,0.7462301587301587
gaussian,0.5,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.9643102884292603,0.49347718253968254
gaussian,0.5,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.99811851978302,0.3953125
gaussian,0.5,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8279720544815063,0.4942708333333333
gaussian,0.5,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,infiltration,0.694284975528717,0.5314484126984127
gaussian,0.5,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9377422332763672,0.0
gaussian,0.5,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-goldeneye,0.7310327291488647,0.671578947368421
gaussian,0.5,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.978126049041748,0.4721052631578947
gaussian,0.5,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ftp-patator,0.997972846031189,0.5113157894736842
gaussian,0.5,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.7857953906059265,0.6657894736842105
gaussian,0.5,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,infiltration,0.7008878588676453,0.5007894736842106
gaussian,0.5,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9805474281311035,0.0
gaussian,0.5,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-goldeneye,0.7327127456665039,0.7441379310344829
gaussian,0.5,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9442761540412903,0.38517241379310346
gaussian,0.5,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.9982722401618958,0.2955172413793104
gaussian,0.5,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8490363955497742,0.2717241379310345
gaussian,0.5,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,infiltration,0.6879318356513977,0.4962068965517242
gaussian,0.5,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9684896469116211,0.0
gaussian,0.5,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7273399233818054,0.6611111111111112
gaussian,0.5,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9500982165336609,0.3388888888888889
gaussian,0.5,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ftp-patator,0.9978122711181641,0.4833333333333334
gaussian,0.5,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,bot,0.8245517015457153,0.7444444444444445
gaussian,0.5,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.6977599263191223,0.4666666666666666
gaussian,0.5,bot,5,Benign,False,benign,0.9559530019760132,benign,0.9888415336608887,0.0
gaussian,0.5,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-goldeneye,0.6811943650245667,0.7
gaussian,0.5,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,portscan,0.9661394357681274,0.6599999999999999
gaussian,0.5,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9984251260757446,0.15999999999999998
gaussian,0.5,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.8478676080703735,0.18
gaussian,0.5,bot,5,Tail,False,infiltration,0.9367480278015137,web-attack-�-sql-injection,0.667267918586731,0.54
gaussian,1.0,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9834383726119995,0.0
gaussian,1.0,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-goldeneye,0.7211909294128418,0.7692212301587301
gaussian,1.0,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.9584327936172485,0.4948164682539683
gaussian,1.0,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9981216192245483,0.402703373015873
gaussian,1.0,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8328517079353333,0.49826388888888895
gaussian,1.0,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,infiltration,0.6898391842842102,0.564781746031746
gaussian,1.0,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9382468461990356,0.0
gaussian,1.0,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-goldeneye,0.7362084984779358,0.7031578947368422
gaussian,1.0,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.9761974215507507,0.47394736842105256
gaussian,1.0,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ftp-patator,0.9979565739631653,0.5121052631578948
gaussian,1.0,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.7959664463996887,0.6647368421052631
gaussian,1.0,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,infiltration,0.6852830052375793,0.5307894736842106
gaussian,1.0,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9792146682739258,0.0
gaussian,1.0,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-goldeneye,0.7301719188690186,0.7810344827586208
gaussian,1.0,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9450479745864868,0.3910344827586207
gaussian,1.0,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.998195469379425,0.35793103448275865
gaussian,1.0,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8475961685180664,0.30310344827586205
gaussian,1.0,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,infiltration,0.6845472455024719,0.5255172413793103
gaussian,1.0,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9649724960327148,0.0
gaussian,1.0,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7218326330184937,0.6777777777777778
gaussian,1.0,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9485041499137878,0.3277777777777778
gaussian,1.0,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ftp-patator,0.9977961778640747,0.4833333333333334
gaussian,1.0,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,bot,0.82105952501297,0.7555555555555555
gaussian,1.0,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.6867407560348511,0.5111111111111111
gaussian,1.0,bot,5,Benign,False,benign,0.9559530019760132,benign,0.9672335386276245,0.0
gaussian,1.0,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-goldeneye,0.7064948678016663,0.8600000000000001
gaussian,1.0,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,portscan,0.9584124684333801,0.6799999999999999
gaussian,1.0,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9980056881904602,0.36
gaussian,1.0,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.8336557149887085,0.22000000000000003
gaussian,1.0,bot,5,Tail,False,infiltration,0.9367480278015137,web-attack-�-sql-injection,0.6698698401451111,0.6
gaussian,2.0,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9774966239929199,0.0
gaussian,2.0,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-goldeneye,0.7188827395439148,0.7822172619047618
gaussian,2.0,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.9538536071777344,0.4958333333333334
gaussian,2.0,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.998100757598877,0.4208333333333334
gaussian,2.0,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8354089856147766,0.5093005952380952
gaussian,2.0,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,infiltration,0.6840802431106567,0.5833829365079366
gaussian,2.0,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9453917741775513,0.0
gaussian,2.0,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-goldeneye,0.7293832302093506,0.7294736842105263
gaussian,2.0,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.9708579778671265,0.47605263157894734
gaussian,2.0,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ftp-patator,0.9979599714279175,0.5128947368421053
gaussian,2.0,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.8072618246078491,0.6547368421052633
gaussian,2.0,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,infiltration,0.6748774647712708,0.5576315789473685
gaussian,2.0,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9761244058609009,0.0
gaussian,2.0,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-goldeneye,0.7242006063461304,0.8241379310344827
gaussian,2.0,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9451600313186646,0.39448275862068966
gaussian,2.0,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.9981478452682495,0.4075862068965517
gaussian,2.0,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8422405123710632,0.3268965517241379
