arm,split,rows,macro_f1,tail_f1,benign_fpr,accuracy,delta_macro_f1,delta_tail_f1,delta_benign_fpr,proposed,accepted,logical_expert_calls,diagnostic_all_expert_policy,changed,helpful,harmful
legacy,cal_confirm,33213,0.7933155948939877,0.5600136249981285,0.003742114829466514,0.9176828350344745,0.0,0.0,0.0,0,0,0,False,0,0,0
post_z,cal_confirm,33213,0.7933155948939877,0.5600136249981285,0.003742114829466514,0.9176828350344745,0.0,0.0,0.0,0,0,0,False,0,0,0
post_raw,cal_confirm,33213,0.7933155948939877,0.5600136249981285,0.003742114829466514,0.9176828350344745,0.0,0.0,0.0,0,0,0,False,0,0,0
decision_post_raw,cal_confirm,33213,0.7933155948939877,0.5600136249981285,0.003742114829466514,0.9176828350344745,0.0,0.0,0.0,0,0,0,False,0,0,0
decision_both_raw,cal_confirm,33213,0.7933155948939877,0.5600136249981285,0.003742114829466514,0.9176828350344745,0.0,0.0,0.0,0,0,0,False,0,0,0
dense_decision_raw,cal_confirm,33213,0.7933155948939877,0.5600136249981285,0.003742114829466514,0.9176828350344745,0.0,0.0,0.0,0,0,0,True,0,0,0
global,full_test,4023114,0.7620863394383272,0.5488774576232661,0.0015227270002278193,0.9858410673920749,0.0,0.0,0.0,0,0,0,False,0,0,0
correctness_oracle,full_test,4023114,0.8491593203295321,0.7489241642753078,0.0006928493493725263,0.9934627753526248,0.08707298089120497,0.20004670665204172,-0.000829877650855293,0,30663,0,False,30663,30663,0
expert1_always,full_test,4023114,0.6312277904548188,0.36283141805044167,0.534832308761304,0.5281540617541536,-0.13085854898350835,-0.18604603957282445,0.5333095817610762,0,1897294,0,False,1897294,27673,1869000
expert2_always,full_test,4023114,0.6944089941825151,0.4092127359810394,0.0013434483057878088,0.9777754247083229,-0.06767734525581204,-0.1396647216422267,-0.00017927869444001043,0,38371,0,False,38371,2951,35400
expert3_always,full_test,4023114,0.6514255993970268,0.36765655882877873,0.3852450779719583,0.6577909549667248,-0.11066074004130033,-0.18122089879448738,0.38372235097173046,0,1369510,0,False,1369510,24524,1344307
legacy,full_test,4023114,0.7620863394383272,0.5488774576232661,0.0015227270002278193,0.9858410673920749,0.0,0.0,0.0,0,0,0,False,0,0,0
post_z,full_test,4023114,0.7620863394383272,0.5488774576232661,0.0015227270002278193,0.9858410673920749,0.0,0.0,0.0,0,0,0,False,0,0,0
post_raw,full_test,4023114,0.7620863394383272,0.5488774576232661,0.0015227270002278193,0.9858410673920749,0.0,0.0,0.0,0,0,0,False,0,0,0
decision_post_raw,full_test,4023114,0.7620863394383272,0.5488774576232661,0.0015227270002278193,0.9858410673920749,0.0,0.0,0.0,0,0,0,False,0,0,0
decision_both_raw,full_test,4023114,0.7620863394383272,0.5488774576232661,0.0015227270002278193,0.9858410673920749,0.0,0.0,0.0,0,0,0,False,0,0,0
dense_decision_raw,full_test,4023114,0.7620863394383272,0.5488774576232661,0.0015227270002278193,0.9858410673920749,0.0,0.0,0.0,0,0,0,True,0,0,0
