class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
benign,2907,0,0.0,0
bot,5,0,0.0,0
brute_force,0,0,0.0,0
ddos,2214,0,0.0,0
dos,64,0,0.0,0
infiltration,25423,0,0.0,0
web_attacks,50,0,0.0,0
