expert,class,rows,helpful,harmful,neutral
1,benign,100000,0,56214,43786
1,bot,31156,0,0,31156
1,brute_force,86279,0,0,86279
1,ddos,100000,300,0,99700
1,dos,45446,0,0,45446
1,infiltration,28224,14981,3,13240
1,web_attacks,381,33,20,328
2,benign,100000,46,80,99874
2,bot,31156,0,0,31156
2,brute_force,86279,0,0,86279
2,ddos,100000,0,0,100000
2,dos,45446,10,0,45436
2,infiltration,28224,5,10496,17723
2,web_attacks,381,23,26,332
3,benign,100000,2,42293,57705
3,bot,31156,0,0,31156
3,brute_force,86279,0,0,86279
3,ddos,100000,300,0,99700
3,dos,45446,9,0,45437
3,infiltration,28224,13295,86,14843
3,web_attacks,381,39,1,341
