class,support,precision,recall,f1
airplane,1000,0.6476190476190476,0.612,0.629305912596401
automobile,1000,0.6963696369636964,0.633,0.6631744368779465
bird,1000,0.4759725400457666,0.416,0.4439701173959445
cat,1000,0.3479707252162342,0.523,0.4178985217738714
deer,1000,0.4983922829581994,0.465,0.4811174340403518
dog,1000,0.4693396226415094,0.398,0.43073593073593075
frog,1000,0.5996131528046421,0.62,0.6096361848574238
horse,1000,0.6525974025974026,0.603,0.6268191268191268
ship,1000,0.6632860040567952,0.654,0.6586102719033232
truck,1000,0.60727969348659,0.634,0.6203522504892368
macro avg,10000,0.5658440108389884,0.5558,0.5581620187489558
weighted avg,10000,0.5658440108389883,0.5558,0.5581620187489557
