role,branch,count,share_of_role,accuracy
known,all_out,8514,0.018519767252161617,0.0
known,argmin,17368,0.037779107074881725,0.553546752648549
known,owner_only,433843,0.9437011256729566,0.9741888194577301
known,ALL,459725,1.0,0.9402555875795312
unseen,all_out,502,0.00502,1.0
unseen,argmin,3038,0.03038,0.0
unseen,owner_only,96460,0.9646,0.0
unseen,ALL,100000,1.0,0.00502
benign,all_out,1978,0.01978,0.0
benign,argmin,70284,0.70284,0.20592168914688977
benign,owner_only,27738,0.27738,0.6643954142331819
benign,ALL,100000,1.0,0.32902
