class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.8633828089953385,0.88533,0.8742186805699558,,0.88533,0.6686124999999999,0.67814,0.03378,0.61361,2e-05,0.88533
ddos,flood,False,False,100000,0.9879341139114903,0.99564,0.9917720888534715,0.9807191605191526,0.99441,0.9875171304296014,-0.0042549584238700255,0.99523,0.9843124999999999,0.99523,0.0,0.0093,0.0,0.05345
password,probe_access,False,True,100000,0.9984289631156563,0.99777,0.9980993727930217,0.999883931963027,0.94761,0.9730454069373421,-0.02505396585567965,0.94761,0.9978199999999999,0.00069,0.94761,0.00142,0.0,0.00661
xss,application,False,False,100000,0.9092251396289401,0.99141,0.948540702931032,0.9135311379197913,0.98063,0.9458921121801828,-0.0026485907508492224,0.98397,0.9806575,0.03699,1e-05,0.98397,0.0,0.04037
injection,application,False,False,76356,0.9946521085176313,0.9353554403059353,0.9640928725701944,0.9908230446746287,0.9007281680549007,0.9436299899155514,-0.020462882654643022,0.9345565508931846,0.9845297029702971,0.03746922311278747,0.00013096547750013096,0.9345565508931846,0.0,0.02428099952852428
dos,flood,False,False,40692,0.9394671084032906,0.8222992234345817,0.8769869871181643,0.8845950999664381,0.9068121498083161,0.8955658568550835,0.018578869736919246,0.9068121498083161,0.9533077754841246,0.9068121498083161,0.0,0.1444755725941217,0.0,0.04229332546937973
backdoor,stealth_malware,True,False,40678,0.9999753979383472,0.9992133339888883,0.999594220719336,1.0,0.99670583607847,0.9983502006845436,-0.0012440200347924035,0.99670583607847,0.9992010423324647,0.00029499975416687153,0.0,0.0006391661340282216,0.99670583607847,0.002261664781946015
mitm,stealth_malware,True,False,1204,0.8672014260249554,0.8081395348837209,0.8366294067067928,0.0,0.0,0.0,-0.8366294067067928,0.0,0.954734219269103,0.013289036544850499,0.0,0.007475083056478406,0.0,0.16029900332225913
ransomware,stealth_malware,True,False,795,0.989769820971867,0.9735849056603774,0.9816106531388713,0.0,0.0,0.0,-0.9816106531388713,0.0,0.9522012578616352,0.03773584905660377,0.0,0.02012578616352201,0.0,0.13333333333333333
macro_avg,,,,459725,0.9608317598140222,0.9404265547841879,0.9496657881038605,0.7211940468803797,0.7158620192427109,0.7180000871252881,-0.23166570097857236,,,,,,,
tail_macro_avg,,,,42677,0.9523155483117233,0.9269792581776622,0.9392780935216667,0.3333333333333333,0.3322352786928233,0.3327834002281812,-0.6064946932934855,,,,,,,
weighted_avg,,,,459725,0.9706743170388176,0.9696144434172603,0.9692555817083607,0.9608845532594646,0.9537984664745228,0.9565512682044643,-0.012704313503896374,,,,,,,
