true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.0026549977875018438,0.99670583607847,0.00034416637986135014,0.00029499975416687153,0.997640001966665
ddos,target known,flood,100000,0.00126,0.98944,0.00351,0.00579,1.00453
dos,target known,flood,40692,0.017644745895999212,0.8378796815098791,0.07554310429568466,0.06893246829843704,1.0512877224024377
injection,target known,application,76356,0.034417727487034415,0.927982083922678,0.031025721619781024,0.006574466970506575,0.9721567394834721
mitm,target known,stealth_malware,1204,0.979235880398671,0.0,0.020764119601328904,0.0,0.020764119601328904
password,target known,probe_access,100000,0.05028,0.94761,0.00211,0.0,0.94972
ransomware,target known,stealth_malware,795,0.9446540880503145,0.0,0.052830188679245285,0.0025157232704402514,0.05786163522012579
xss,target known,application,100000,0.00413,0.95887,0.0119,0.0251,1.02097
unseen::scanning,target unseen,,100000,0.96643,,0.03341,0.00016,0.03373
benign_diagnostic,benign diagnostic,,100000,0.66367,,0.20893,0.1274,0.46373
