expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.7413,5997,46293,0.5204,0.3376
2,202122,0.6474,10480,60793,0.73,0.6723
3,202122,0.5579,9968,79398,0.7258,0.6203
