run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,ALL,4023114,200344,0.049798,23173,0.115666,177171,0.884334,1.049798
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,benign,3502926,19050,0.005438,88,0.004619,18962,0.995381,1.005438
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,bot,41542,223,0.005368,1,0.004484,222,0.995516,1.005368
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,brute_force,115040,89478,0.777799,12108,0.135318,77370,0.864682,1.777799
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,ddos,264872,57329,0.21644,8938,0.155907,48391,0.844093,1.21644
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,dos,60594,33562,0.553883,2023,0.060277,31539,0.939723,1.553883
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,infiltration,37631,504,0.013393,8,0.015873,496,0.984127,1.013393
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,web_attacks,509,198,0.388998,7,0.035354,191,0.964646,1.388998
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert1,108670,108670,,392,0.003607,108278,0.996393,
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert2,48112,48112,,8948,0.185983,39164,0.814017,
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert3,43562,43562,,13833,0.317547,29729,0.682453,
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,MEASURED_COMPUTE,,,,,,,,2.0273
