round,expert,tune_pos_coverage,marginal,action
1,1,0.6165,0.0226,kept
1,2,0.8412,0.0,kept
1,3,0.3353,0.0254,kept
1,4,0.8308,0.0001,kept
1,5,0.1495,0.0,kept
1,6,0.8176,0.0,kept
1,7,0.7256,0.0445,kept
1,8,0.3713,0.0,removed
2,1,0.6165,0.0226,kept
2,2,0.8412,0.0,kept
2,3,0.3353,0.0254,kept
2,4,0.8308,0.0001,kept
2,5,0.1495,0.0,kept
2,6,0.8176,0.0,removed
2,7,0.7256,0.0445,kept
3,1,0.6165,0.0226,kept
3,2,0.8412,0.0,removed
3,3,0.3353,0.0254,kept
3,4,0.8308,0.0001,kept
3,5,0.1495,0.0,kept
3,7,0.7256,0.0445,kept
4,1,0.6165,0.0226,kept
4,3,0.3353,0.0254,kept
4,4,0.8308,0.0001,kept
4,5,0.1495,0.0,removed
4,7,0.7256,0.0445,kept
5,1,0.6165,0.0226,kept
5,3,0.3353,0.0257,kept
5,4,0.8308,0.0001,removed
5,7,0.7256,0.0445,kept
6,1,0.6165,0.0226,kept
6,3,0.3353,0.0257,kept
6,7,0.7256,0.0445,kept
