expert,class,rows,mean_gain,frac_positive
1,benign,100000,0.01001071181550672,0.78555
1,bot,31156,0.34509531569534696,0.9975927590191296
1,brute_force,86279,1.934148798530599,1.0
1,ddos,100000,0.015592886726045703,0.94314
1,dos,45446,31.373372027476925,0.9997139462218897
1,infiltration,28224,-15.586847035247699,0.36720521541950113
1,web_attacks,381,-3352.5791552147334,0.12335958005249344
2,benign,100000,-0.07936488242926928,0.03743
2,bot,31156,-0.508836929154425,0.02410450635511619
2,brute_force,86279,8.678524809554858,1.0
2,ddos,100000,-0.00461019210509101,0.27549
2,dos,45446,13.181460133676751,0.6900497293491177
2,infiltration,28224,14.09323508051189,0.5784438775510204
2,web_attacks,381,-3708.438820986838,0.1942257217847769
3,benign,100000,0.008417311901985226,0.70433
3,bot,31156,0.05499454470374673,0.9885736294774682
3,brute_force,86279,16.168916572240363,1.0
3,ddos,100000,0.014953050056258512,0.8996
3,dos,45446,14.771278991305705,0.791114729569159
3,infiltration,28224,-16.74040708575508,0.03319869614512472
3,web_attacks,381,-740.5312705820124,0.4041994750656168
