run,item,value,note
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert1_solo_recovery,0.46695,share of full-bank oracle utility recovered alone
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert2_solo_recovery,0.545028,share of full-bank oracle utility recovered alone
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert3_solo_recovery,0.67073,share of full-bank oracle utility recovered alone
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert1_shared_variance_share,0.476377,fraction of gain variance that is the shared global term
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert2_shared_variance_share,0.401379,fraction of gain variance that is the shared global term
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,expert3_shared_variance_share,1.84308,fraction of gain variance that is the shared global term
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,utility_share_benign,0.000303,n=100000
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_benign,0.044842,"positive-gain set overlap, within class"
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,utility_share_bot,0.003096,n=31156
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_bot,0.024097,"positive-gain set overlap, within class"
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,utility_share_brute_force,0.397706,n=86279
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_brute_force,1.0,"positive-gain set overlap, within class"
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,utility_share_ddos,0.000517,n=100000
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_ddos,0.291099,"positive-gain set overlap, within class"
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,utility_share_dos,0.406597,n=45446
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_dos,0.690247,"positive-gain set overlap, within class"
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,utility_share_infiltration,0.128096,n=28224
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_infiltration,0.030582,"positive-gain set overlap, within class"
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,utility_share_web_attacks,0.063684,n=381
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_web_attacks,0.493827,"positive-gain set overlap, within class"
