class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,122673,108289,-14384,3488225,3488210
bot,4,4,0,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,12,13,1,224856,226695
dos,2,5,3,20483,20911
infiltration,12605,12606,1,12080,12076
web_attacks,2079,14203,12124,226,233
