class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3488208,2,17,14699,0
bot,41542,41415,0,0,127,0
brute_force,115040,77344,0,0,37696,12108
ddos,264872,224854,1841,2,38175,1
dos,60594,20483,428,0,39683,1
infiltration,37631,12076,0,4,25551,4
web_attacks,509,226,7,0,276,0
