K,beta,tune_expert_balanced_nll
2,0.0,7.156424
2,0.5,8.849137
2,1.0,11.877667
4,0.0,7.287519
4,0.5,8.27718
4,1.0,10.160953
8,0.0,7.51256
8,0.5,7.888212
8,1.0,8.843694
