regime,rows,weighted_mass,mean_residual,kept,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
1,20941,0.1453,14.71,True,0,0,0,0,20941,0,0
2,17610,0.3747,45.11,False,0,0,17610,0,0,0,0
3,15715,0.2523,35.69,True,0,0,0,0,0,15715,0
4,7263,0.0745,22.93,False,1871,0,0,0,5163,117,112
5,1934436,0.0922,0.1,False,1739534,20642,39579,131674,132,2875,0
6,9,0.0002,84.05,False,0,9,0,0,0,0,0
7,140,0.003,1975.79,True,0,0,0,0,0,0,140
8,3886,0.0579,35.99,False,0,0,0,0,3886,0,0
