expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,14000,0,12190,144,400,922,211,131,2
1,20941,14000,20941,0,0,0,0,20941,0,0
2,15715,14000,15715,0,0,0,0,0,15715,0
3,140,14000,140,0,0,0,0,0,0,140
