class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,28393,28393,0,3495332,3495332
bot,4,4,0,41418,41418
brute_force,21110,21110,0,115020,115020
ddos,143,143,0,262621,262621
dos,13,13,0,38855,38855
infiltration,4906,4906,0,11997,11997
web_attacks,2830,2830,0,472,472
