expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15465,12761,15465,0,0,0,0,0,15447,18
2,1911415,12761,186000,168843,4342,0,7885,2356,2574,0
3,18674,12761,18674,35,0,18639,0,0,0,0
4,4872,12761,4872,4581,0,0,0,0,57,234
