true_class,support,benign_gate_rate,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Rare_accept_rate,WebBot_Rare_selected_rate,WebBot_Rare_margin,WebBot_Rare_stability
benign,454537,0.9972059480306333,0.0004026074884992861,0.00064461198978301,0.0006182114987338765,-0.017415782436728477,0.0012444132007658482,0.0008140151406816167,0.0004576085115183142,-0.01913638971745968,0.0024797806981951,0.002142839856821337,0.0013156244706151534,0.002608914626762271,0.0020730742253363132
bot,393,0.007633587786259542,0.002544529262086514,0.0,0.0,-8.62095832824707,0.46394553780555725,0.21119592875318066,0.0,-4.6272711753845215,0.9314966797828674,0.989821882951654,0.989821882951654,2.162208080291748,0.9868008494377136
ddos,25606,0.0,7.810669374365383e-05,0.9988283995938452,0.9988283995938452,3.3478810787200928,0.3386569619178772,0.00019526673435913457,0.0,-10.901711463928223,0.9028863906860352,0.9962899320471764,0.0010934937124111536,1.0786317586898804,0.5964420437812805
dos-goldeneye,2059,0.0,0.025740650801359885,0.9655172413793104,0.9470616804273919,2.4698383808135986,0.9700248837471008,0.0,0.0,-9.373542785644531,0.9328218698501587,0.09179213210296261,0.027197668771248178,-0.3075377345085144,0.7471476197242737
dos-hulk,46025,0.0,0.0063661053775122215,0.9832047800108636,0.9726670287887018,2.8554086685180664,0.6760923862457275,0.0,0.0,-12.066597938537598,0.9078615307807922,0.6614665942422596,0.020966865833785986,0.5664464235305786,0.7844467759132385
dos-slowhttptest,1100,0.0009090909090909091,0.12272727272727273,0.8027272727272727,0.8027272727272727,0.7649877667427063,0.5602921843528748,0.0,0.0,-6.708184719085693,0.9279018044471741,0.13454545454545455,0.07363636363636364,-0.09470497071743011,0.9637826085090637
dos-slowloris,1159,0.0025884383088869713,0.12683347713546161,0.6272648835202761,0.6272648835202761,0.4527682662010193,0.5723108053207397,0.0,0.0,-8.486961364746094,0.9108902812004089,0.5953408110440035,0.24331320103537532,0.029726369306445122,0.8593569397926331
ftp-patator,1588,0.0,0.005667506297229219,0.0,0.0,-7.399899959564209,0.4296870827674866,0.9924433249370277,0.9924433249370277,1.2914992570877075,0.3882284164428711,0.21662468513853905,0.001889168765743073,-0.4260348081588745,0.8708938360214233
heartbleed,2,0.0,0.0,0.0,0.0,-5.44951057434082,0.7712641954421997,0.0,0.0,-8.229494094848633,0.95354163646698,1.0,1.0,1.6989394426345825,0.38029399514198303
infiltration,7,0.0,0.0,0.0,0.0,-5.019718647003174,0.5412251353263855,0.0,0.0,-2.854400634765625,0.9775930643081665,1.0,1.0,1.732908844947815,0.9991552233695984
portscan,31786,6.292078273453722e-05,0.0022966085698106083,0.00018876234820361165,0.00015730195683634303,-8.608466148376465,0.3547591269016266,0.9834518341408167,0.9833889133580822,2.121422052383423,0.8977680802345276,0.7333731831623985,0.014094255332536337,1.1011441946029663,0.8662625551223755
ssh-patator,1179,0.0,0.0729431721798134,0.0016963528413910093,0.0016963528413910093,-8.68893814086914,0.4680182933807373,0.9236641221374046,0.9219677692960135,0.3765663504600525,0.9888361096382141,0.02374893977947413,0.0033927056827820186,-0.5493777990341187,0.9596148133277893
web-attack-�-brute-force,302,0.0,0.11589403973509933,0.0,0.0,-5.149472236633301,0.4298015832901001,0.0,0.0,-3.911616563796997,0.9318006634712219,0.8841059602649006,0.8841059602649006,0.24416932463645935,0.8992921710014343
web-attack-�-sql-injection,4,0.0,0.25,0.0,0.0,-5.839600086212158,0.6935406923294067,0.0,0.0,-12.714183807373047,0.9146432876586914,0.75,0.75,0.9028536677360535,0.5055878758430481
web-attack-�-xss,130,0.0,0.18461538461538463,0.0,0.0,-5.3806915283203125,0.36712968349456787,0.0,0.0,-3.2594778537750244,0.9373207688331604,0.8153846153846154,0.8153846153846154,0.10988014936447144,0.8232393860816956
