expert,quantile,threshold,objective,owned_accept_rate,benign_accept_rate,non_owned_attack_accept_rate,owned_local_acc_given_accept,owned_support,benign_support,non_owned_attack_support,old_threshold,score_scale
DoS_DDoS,0.02,5.369152069091797,0.9214841236665697,0.9799992099753776,0.01934491725664301,0.00048033453887884266,0.9999865641962702,75947,454538,35392,5.881744861602783,0.4528040885925293
Scan_Brute,0.02,6.021491050720215,0.9316946984572998,0.9808410268283506,0.015943661476048206,0.001315343942906259,1.0,34553,454538,76786,6.211685657501221,0.2229529470205307
WebBot_Rare,0.05,2.008349657058716,-1.5791190422348071,0.9499404052443385,0.6005856496046535,0.7270045248868778,0.8531994981179423,839,454538,110500,2.008349657058716,1.6013498306274414
