class,support,owned_expert,primary_bottleneck,baseline_recall,moe_recall,baseline_f1,moe_f1,delta_f1,benign_gate_rate,all_reject_rate,owned_accept_rate,owned_selected_rate,wrong_expert_selected_rate,local_acc_given_owned_selected,selected_but_wrong_rate,selected_minus_recall,multi_accept_rate,meta_router_rate,stability_tiebreak_rate,mean_owned_margin,mean_owned_stability,mean_owned_local_conf
benign,454537,benign_default,benign_false_accept,0.9987217762250378,0.9976085555191326,0.999346179331782,0.9978489418003972,-0.0014972375313848652,0.9972059480306333,0.0004026074884992861,,,0.002391444480867344,,0.002391444480867344,,0.0012100225064186193,0.0012100225064186193,0.0,,,
ssh-patator,1179,Scan_Brute,gate_reject,1.0,0.9219677692960135,0.9995760915642221,0.9593998234774934,-0.040176268086728695,0.0,0.0729431721798134,0.9236641221374046,0.9219677692960135,0.005089058524173028,1.0,0.005089058524173028,0.0,0.02205258693808312,0.02205258693808312,0.0,0.3765663504600525,0.9888361096382141,0.9999696612358093
dos-slowloris,1159,DoS_DDoS,gate_reject,0.996548748921484,0.6272648835202761,0.9888698630136986,0.7705352411234764,-0.21833462189022224,0.0025884383088869713,0.12683347713546161,0.6272648835202761,0.6272648835202761,0.24331320103537532,1.0,0.24331320103537532,0.0,0.35202761000862814,0.35202761000862814,0.0,0.4527682662010193,0.5723108053207397,0.9943880438804626
dos-slowhttptest,1100,DoS_DDoS,gate_reject,0.990909090909091,0.8018181818181818,0.9873188405797102,0.88509784244857,-0.10222099813114016,0.0009090909090909091,0.12272727272727273,0.8027272727272727,0.8027272727272727,0.07363636363636364,0.9988674971687429,0.07454545454545454,0.0009090909090909705,0.060909090909090906,0.060909090909090906,0.0,0.7649877667427063,0.5602921843528748,0.9969130754470825
web-attack-�-brute-force,302,WebBot_Rare,gate_reject,0.7019867549668874,0.5993377483443708,0.729776247848537,0.40401785714285715,-0.32575839070567986,0.0,0.11589403973509933,0.8841059602649006,0.8841059602649006,0.0,0.6779026217228464,0.2847682119205298,0.2847682119205298,0.0,0.0,0.0,0.24416932463645935,0.8992921710014343,0.7619855403900146
web-attack-�-xss,130,WebBot_Rare,gate_reject,0.5230769230769231,0.5076923076923077,0.44299674267100975,0.18032786885245902,-0.26266887381855075,0.0,0.18461538461538463,0.8153846153846154,0.8153846153846154,0.0,0.6226415094339622,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.10988014936447144,0.8232393860816956,0.7023429274559021
web-attack-�-sql-injection,4,WebBot_Rare,gate_reject,0.25,0.5,0.25,0.003341687552213868,-0.24665831244778613,0.0,0.25,0.75,0.75,0.0,0.6666666666666666,0.25,0.25,0.0,0.0,0.0,0.9028536677360535,0.5055878758430481,0.9616090059280396
ddos,25606,DoS_DDoS,ok,0.9999609466531282,0.9988283995938452,0.999648629655657,0.9989064208717388,-0.0007422087839182856,0.0,7.810669374365383e-05,0.9988283995938452,0.9988283995938452,0.0010934937124111536,1.0,0.0010934937124111536,0.0,0.9951964383347653,0.9951964383347653,0.0,3.3478810787200928,0.3386569619178772,0.9999482035636902
ftp-patator,1588,Scan_Brute,ok,0.9993702770780857,0.9924433249370277,0.9993702770780857,0.9962073324905183,-0.0031629445875673845,0.0,0.005667506297229219,0.9924433249370277,0.9924433249370277,0.001889168765743073,1.0,0.001889168765743073,0.0,0.21473551637279598,0.21473551637279598,0.0,1.2914992570877075,0.3882284164428711,0.9999844431877136
bot,393,WebBot_Rare,ok,0.989821882951654,0.989821882951654,0.790650406504065,0.7409523809523809,-0.04969802555168412,0.007633587786259542,0.002544529262086514,0.989821882951654,0.989821882951654,0.0,1.0,0.0,0.0,0.21119592875318066,0.21119592875318066,0.0,2.162208080291748,0.9868008494377136,0.9913042783737183
infiltration,7,WebBot_Rare,ok,1.0,1.0,0.9333333333333333,0.0707070707070707,-0.8626262626262626,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.732908844947815,0.9991552233695984,0.9984973073005676
heartbleed,2,WebBot_Rare,ok,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6989394426345825,0.38029399514198303,0.999081015586853
dos-hulk,46025,DoS_DDoS,wrong_expert,0.999369907658881,0.9726670287887018,0.9986213484731705,0.9835658574096452,-0.015055491063525328,0.0,0.0063661053775122215,0.9832047800108636,0.9726670287887018,0.020966865833785986,1.0,0.020966865833785986,0.0,0.6510374796306355,0.6510374796306355,0.0,2.8554086685180664,0.6760923862457275,0.9997219443321228
portscan,31786,Scan_Brute,wrong_expert,0.9996853960863273,0.9833889133580822,0.9966283500870357,0.9883640043002593,-0.008264345786776373,6.292078273453722e-05,0.0022966085698106083,0.9834518341408167,0.9833889133580822,0.01425155728937268,1.0,0.01425155728937268,0.0,0.719373309003964,0.719373309003964,0.0,2.121422052383423,0.8977680802345276,0.9999179244041443
dos-goldeneye,2059,DoS_DDoS,wrong_expert,0.9985429820301117,0.9465760077707625,0.9894128970163619,0.9691695673794132,-0.020243329636948748,0.0,0.025740650801359885,0.9655172413793104,0.9470616804273919,0.027197668771248178,0.9994871794871795,0.027683341427877612,0.00048567265662946557,0.08305002428363283,0.08305002428363283,0.0,2.4698383808135986,0.9700248837471008,0.999351978302002
