expert,quantile,threshold,objective,owned_accept_rate,benign_accept_rate,non_owned_attack_accept_rate,owned_local_acc_given_accept,owned_support,benign_support,non_owned_attack_support
DoS_DDoS,0.001,2.618575096130371,-0.26491499661920315,0.9989993021449168,0.40883490489244023,0.03740958408679928,0.9998681973349501,75947,454538,35392
DoS_DDoS,0.002,3.318608283996582,0.24129671740104058,0.9979986042898337,0.24382339870373873,0.025231690777576855,0.9999076456230622,75947,454538,35392
DoS_DDoS,0.005,4.254764556884766,0.7859641571193016,0.9949965107245843,0.06920653498717379,0.001412748643761302,0.9999603001310096,75947,454538,35392
DoS_DDoS,0.01,4.954172611236572,0.889967618690791,0.9899930214491685,0.03300274124495642,0.0010171790235081375,0.9999733996568556,75947,454538,35392
DoS_DDoS,0.02,5.369152069091797,0.9214841236665697,0.9799992099753776,0.01934491725664301,0.00048033453887884266,0.9999865641962702,75947,454538,35392
DoS_DDoS,0.05,5.881744861602783,0.9187693393553086,0.9500309426310454,0.010335769506619909,0.0002542947558770344,0.9999861403703293,75947,454538,35392
Scan_Brute,0.001,3.7933943271636963,-1.4869486945184727,0.9990160043990391,0.7715394532470332,0.17134633917641237,1.0,34553,454538,76786
Scan_Brute,0.002,4.099129676818848,-1.2224336931624151,0.9980030677509912,0.7204458153113711,0.0590993149792931,1.0,34553,454538,76786
Scan_Brute,0.005,5.405884265899658,0.7545122405465992,0.9951957861835441,0.0777360748716279,0.007475321022061313,1.0,34553,454538,76786
Scan_Brute,0.01,5.444149971008301,0.7688447476695646,0.9923016814748358,0.07247138853077191,0.006042768212955487,1.0,34553,454538,76786
Scan_Brute,0.02,6.021491050720215,0.9316946984572998,0.9808410268283506,0.015943661476048206,0.001315343942906259,1.0,34553,454538,76786
Scan_Brute,0.05,6.211685657501221,0.9139360716239563,0.9576881891586838,0.014584039178242523,0.0,1.0,34553,454538,76786
WebBot_Rare,0.001,0.7081833481788635,-2.8584890849663296,0.99880810488677,0.9575063031033709,0.9847782805429864,0.847255369928401,839,454538,110500
WebBot_Rare,0.002,1.0567724704742432,-2.6133503599315966,0.9976162097735399,0.9282920239891934,0.8260904977375566,0.8470728793309439,839,454538,110500
WebBot_Rare,0.005,1.4069880247116089,-2.4904189997503106,0.9940405244338498,0.8988379409422315,0.7879457013574661,0.8465227817745803,839,454538,110500
WebBot_Rare,0.01,1.7291812896728516,-2.1456231262150744,0.9892729439809297,0.7914057790547765,0.7606787330316742,0.846987951807229,839,454538,110500
WebBot_Rare,0.02,1.8968877792358398,-1.850105734669914,0.9797377830750894,0.694958397317716,0.7449683257918552,0.8479318734793188,839,454538,110500
WebBot_Rare,0.05,2.008349657058716,-1.5791190422348071,0.9499404052443385,0.6005856496046535,0.7270045248868778,0.8531994981179423,839,454538,110500
