class,rows,proposed,accepted
benign,3502926,0,0
bot,41542,1628,1628
brute_force,115040,110920,110920
ddos,264872,169617,169610
dos,60594,21271,21271
infiltration,37631,8104,8104
web_attacks,509,0,0
