expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,20651,12761,20651,0,20651,0,0,0,0,0
2,15638,12761,15638,0,0,0,0,0,15638,0
3,1910004,12761,186000,47498,0,13283,115087,10132,0,0
4,120,12761,120,0,0,0,0,0,0,120
5,3134,12761,3134,65,0,0,0,0,3069,0
