class,owner_expert,is_tail,support,xgb_recall,oracle_local_recall,gated_recall,recall_lost_to_gate,wrong_accepted,wrong_rejected,dominant_recall_loss,fp_from_known_count,top_fp_true_class,top_fp_count,fp_from_unseen_count,fp_from_benign_count
ddos,flood,False,100000,0.02206,0.02465,0.0,0.02465,0.94918,0.02617,local_classifier,6,dos,6,14,1119
dos,flood,False,100000,0.95452,0.9668,0.95118,0.01562,6e-05,0.03314,local_classifier,94918,ddos,94918,0,0
theft,theft,True,323,0.9938080495356038,1.0,0.9442724458204335,0.05572755417956656,0.0,0.0,gate,733,ddos,369,85792,28280
