role,branch,count,share_of_role,accuracy
known,all_out,7636,0.03811843872146484,0.0
known,owner_only,192687,0.9618815612785352,0.49522282250489136
known,ALL,200323,1.0,0.4763457016917678
unseen,all_out,13749,0.13749,1.0
unseen,argmin,78978,0.78978,0.0
unseen,owner_only,7273,0.07273,0.0
unseen,ALL,100000,1.0,0.13749
benign,all_out,3209,0.3085873641696317,0.0
benign,argmin,1688,0.16232330031733821,1.0
benign,owner_only,5502,0.5290893355130301,0.8436932024718284
benign,ALL,10399,1.0,0.6087123761900183
