condition,policy,class,support,TP,FP,FN,TN,precision,recall,f1,fpr,H,D,calls,accepted
0,region_constant,benign,2652203,2541495,8453,110708,381817,0.9966850304398365,0.9582580971366068,0.9770938982740024,0.021659364030030492,4,106384,2652203,2652203
0,region_constant,bot,41542,41366,4,176,3000927,0.9999033115784385,0.9957633238650041,0.9978290235430336,1.3329196839247553e-06,0,29,41542,41542
0,region_constant,brute_force,37696,37676,0,20,3004777,1.0,0.9994694397283531,0.9997346494719525,0.0,0,0,37696,37696
0,region_constant,ddos,262680,253566,6,9114,2779787,0.9999763380814917,0.9653037916857012,0.9823342088747355,2.158434099229691e-06,0,8652,262680,262680
0,region_constant,dos,39483,38854,21,629,3002969,0.999459807073955,0.9840690930273789,0.991704739784068,6.993030279821111e-06,0,14,39483,39483
0,region_constant,infiltration,8742,4286,115849,4456,2917882,0.03567653056977567,0.49027682452528026,0.06651303180552,0.03818697175194505,1553,0,8742,8742
0,region_constant,web_attacks,127,117,780,10,3041566,0.13043478260869565,0.9212598425196851,0.228515625,0.0002563810953783692,6,0,127,127
