true_class,support,expert_idx,cap,oracle,pred_x,conf_x,pred_xa,w_natural,w_moderate,w_attack_parity
benign,454537,0,1363613,True,benign,0.9990429878234863,benign,0.9880318641662598,0.9623067378997803,0.9357727766036987
benign,454537,1,6176,False,benign,0.9947582483291626,benign,0.0034416555427014828,0.009836598299443722,0.016593145206570625
benign,454537,2,3299,False,benign,0.9927880167961121,benign,0.0045901755802333355,0.0137630021199584,0.022995101287961006
benign,454537,3,22,False,benign,0.7740819454193115,benign,0.003936248365789652,0.014093635603785515,0.024638978764414787
portscan,31786,0,1363613,True,portscan,0.9993860125541687,benign,0.9880318641662598,0.9623067378997803,0.9357727766036987
portscan,31786,1,6176,False,portscan,0.9990147352218628,benign,0.0034416555427014828,0.009836598299443722,0.016593145206570625
portscan,31786,2,3299,False,portscan,0.9985872507095337,benign,0.0045901755802333355,0.0137630021199584,0.022995101287961006
portscan,31786,3,22,False,portscan,0.9302400350570679,bot,0.003936248365789652,0.014093635603785515,0.024638978764414787
ddos,25606,0,1363613,True,ddos,0.9998873472213745,benign,0.9880318641662598,0.9623067378997803,0.9357727766036987
ddos,25606,1,6176,False,ddos,0.9995024800300598,benign,0.0034416555427014828,0.009836598299443722,0.016593145206570625
ddos,25606,2,3299,False,ddos,0.9995054006576538,benign,0.0045901755802333355,0.0137630021199584,0.022995101287961006
ddos,25606,3,22,False,ddos,0.9419078230857849,ftp-patator,0.003936248365789652,0.014093635603785515,0.024638978764414787
web-attack-�-xss,130,0,1363613,False,web-attack-�-xss,0.7204330563545227,benign,0.9880318641662598,0.9623067378997803,0.9357727766036987
web-attack-�-xss,130,1,6176,False,web-attack-�-xss,0.7093746662139893,benign,0.0034416555427014828,0.009836598299443722,0.016593145206570625
web-attack-�-xss,130,2,3299,False,web-attack-�-xss,0.7109472155570984,benign,0.0045901755802333355,0.0137630021199584,0.022995101287961006
web-attack-�-xss,130,3,22,True,web-attack-�-xss,0.7864001989364624,ftp-patator,0.003936248365789652,0.014093635603785515,0.024638978764414787
