distribution,E0(cap=1363613),E1(cap=6176),E2(cap=3299),E3(cap=22)
natural,0.9880318641662598,0.0034416555427014828,0.0045901755802333355,0.003936248365789652
moderate,0.9623067378997803,0.009836598299443722,0.0137630021199584,0.014093635603785515
attack_parity,0.9357727766036987,0.016593145206570625,0.022995101287961006,0.024638978764414787
