expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15796,12761,15796,0,0,0,0,0,15796,0
2,1970845,12761,186000,130598,2923,39194,9261,2547,1477,0
3,113,12761,113,0,0,0,0,0,0,113
