distribution,group,E0(cap=1363613),E1(cap=6176),E2(cap=3299),E3(cap=22)
natural,many,0.36020269989967346,0.2116813361644745,0.21246454119682312,0.21565142273902893
natural,medium,0.2752600312232971,0.2446250468492508,0.2401696890592575,0.23994526267051697
natural,few,0.25153008103370667,0.2507922947406769,0.24914351105690002,0.24853409826755524
moderate,many,0.3598805367946625,0.21190975606441498,0.21248503029346466,0.2157246619462967
moderate,medium,0.2746887803077698,0.24362410604953766,0.24077484011650085,0.2409123033285141
moderate,few,0.251541405916214,0.25069230794906616,0.24924662709236145,0.2485196739435196
attack_parity,many,0.3596310019493103,0.21206140518188477,0.21259045600891113,0.21571718156337738
attack_parity,medium,0.27474361658096313,0.2436857670545578,0.24069155752658844,0.2408791333436966
attack_parity,few,0.25146034359931946,0.2508450746536255,0.24924208223819733,0.24845260381698608
