true_class,support,expert_idx,cap,oracle,pred_x,conf_x,pred_xa,w_natural,w_moderate,w_attack_parity
benign,454537,0,1363613,True,benign,0.9990429878234863,benign,0.9698355197906494,0.9708394408226013,0.8827627897262573
benign,454537,1,6176,False,benign,0.9947582483291626,benign,0.010428647510707378,0.009660391137003899,0.03745831921696663
benign,454537,2,3299,False,benign,0.9927880167961121,benign,0.010565624572336674,0.010661669075489044,0.039375774562358856
benign,454537,3,22,False,benign,0.7740819454193115,benign,0.009170141071081161,0.008838505484163761,0.04040318354964256
portscan,31786,0,1363613,True,portscan,0.9993860125541687,benign,0.9698355197906494,0.9708394408226013,0.8827627897262573
portscan,31786,1,6176,False,portscan,0.9990147352218628,benign,0.010428647510707378,0.009660391137003899,0.03745831921696663
portscan,31786,2,3299,False,portscan,0.9985872507095337,benign,0.010565624572336674,0.010661669075489044,0.039375774562358856
portscan,31786,3,22,False,portscan,0.9302400350570679,bot,0.009170141071081161,0.008838505484163761,0.04040318354964256
ddos,25606,0,1363613,True,ddos,0.9998873472213745,benign,0.9698355197906494,0.9708394408226013,0.8827627897262573
ddos,25606,1,6176,False,ddos,0.9995024800300598,benign,0.010428647510707378,0.009660391137003899,0.03745831921696663
ddos,25606,2,3299,False,ddos,0.9995054006576538,benign,0.010565624572336674,0.010661669075489044,0.039375774562358856
ddos,25606,3,22,False,ddos,0.9419078230857849,ftp-patator,0.009170141071081161,0.008838505484163761,0.04040318354964256
web-attack-�-xss,130,0,1363613,False,web-attack-�-xss,0.7204330563545227,benign,0.9698355197906494,0.9708394408226013,0.8827627897262573
web-attack-�-xss,130,1,6176,False,web-attack-�-xss,0.7093746662139893,benign,0.010428647510707378,0.009660391137003899,0.03745831921696663
web-attack-�-xss,130,2,3299,False,web-attack-�-xss,0.7109472155570984,benign,0.010565624572336674,0.010661669075489044,0.039375774562358856
web-attack-�-xss,130,3,22,True,web-attack-�-xss,0.7864001989364624,ftp-patator,0.009170141071081161,0.008838505484163761,0.04040318354964256
