true_class,support,true_group,pseudo_group_majority,pseudo_many_count,pseudo_many_rate,pseudo_medium_count,pseudo_medium_rate,pseudo_few_count,pseudo_few_rate
benign,454537,many,many,454284,0.9994433896470475,233,0.0005126095345373424,20,4.400081841522252e-05
bot,393,medium,medium,4,0.010178117048346057,389,0.989821882951654,0,0.0
ddos,25606,many,many,25606,1.0,0,0.0,0,0.0
dos-goldeneye,2059,many,many,2056,0.9985429820301117,3,0.0014570179698882952,0,0.0
dos-hulk,46025,many,many,46023,0.9999565453557849,0,0.0,2,4.345464421510049e-05
dos-slowhttptest,1100,medium,medium,1,0.0009090909090909091,1097,0.9972727272727273,2,0.0018181818181818182
dos-slowloris,1159,medium,medium,2,0.001725625539257981,1155,0.996548748921484,2,0.001725625539257981
ftp-patator,1588,medium,medium,0,0.0,1587,0.9993702770780857,1,0.0006297229219143577
heartbleed,2,few,few,0,0.0,0,0.0,2,1.0
infiltration,7,few,few,0,0.0,0,0.0,7,1.0
portscan,31786,many,many,31783,0.9999056188258982,1,3.146039136726861e-05,2,6.292078273453722e-05
ssh-patator,1179,medium,medium,0,0.0,1179,1.0,0,0.0
web-attack-�-brute-force,302,few,few,0,0.0,0,0.0,302,1.0
web-attack-�-sql-injection,4,few,many,2,0.5,0,0.0,2,0.5
web-attack-�-xss,130,few,few,2,0.015384615384615385,0,0.0,128,0.9846153846153847
