role,branch,count,share_of_role,accuracy
known,all_out,10143,0.02098396876920117,0.0
known,argmin,58236,0.12047938531432507,0.9635964008517068
known,owner_only,414990,0.8585366459164737,0.8459071302922962
known,ALL,483369,1.0,0.8423357724636872
unseen,all_out,17606,0.23057781968673058,1.0
unseen,argmin,17870,0.23403530829273403,0.0
unseen,owner_only,40880,0.5353868720205354,0.0
unseen,ALL,76356,1.0,0.23057781968673058
benign,all_out,2388,0.02388,0.0
benign,argmin,72793,0.72793,0.20533567788111495
benign,owner_only,24819,0.24819,0.684233853096418
benign,ALL,100000,1.0,0.31929
