class,owner_expert,is_tail,support,xgb_recall,oracle_local_recall,gated_recall,recall_lost_to_gate,wrong_accepted,wrong_rejected,dominant_recall_loss,fp_from_known_count,top_fp_true_class,top_fp_count,fp_from_unseen_count,fp_from_benign_count
ddos,flood,False,100000,0.99642,0.99659,0.99492,0.00167,0.00113,0.00228,local_classifier,1335,xss,878,26340,16461
password,probe_access,False,100000,0.9987,0.99998,0.93364,0.06634,0.0,2e-05,gate,57,ddos,36,2675,800
scanning,probe_access,False,100000,0.99871,0.99935,0.41617,0.58318,2e-05,0.00063,gate,30,xss,30,3,38876
xss,application,False,100000,0.99084,1.0,0.9583,0.0417,0.0,0.0,gate,3423,dos,2605,37801,13684
dos,flood,False,40692,0.8250270323405092,0.9999017005799665,0.9142337560208394,0.0856679445591271,2.457485500835545e-05,7.372456502506635e-05,gate,3625,xss,3428,2409,12389
backdoor,stealth_malware,True,40678,0.9991150007374994,0.9990166674861104,0.9970008358326368,0.002015831653473622,0.0,0.0009833325138895717,gate,0,,0,0,0
mitm,stealth_malware,True,1204,0.7641196013289037,0.9883720930232558,0.0,0.9883720930232558,0.0,0.011627906976744186,gate,0,,0,0,0
ransomware,stealth_malware,True,795,0.9522012578616352,0.9962264150943396,0.0,0.9962264150943396,0.0,0.0037735849056603774,gate,0,,0,0,0
