true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.002261664781946015,0.9970008358326368,0.0006883327597227003,4.9166625694478586e-05,0.9977875018437484
ddos,target known,flood,100000,0.00137,0.99238,0.00258,0.00367,1.0023
dos,target known,flood,40692,0.02853140666470068,0.9074510960385334,0.05721026245945149,0.00680723483731446,0.9782758281726138
mitm,target known,stealth_malware,1204,0.9593023255813954,0.0,0.03986710963455149,0.0008305647840531562,0.04152823920265781
password,target known,probe_access,100000,0.06514,0.93258,0.00121,0.00107,0.93593
ransomware,target known,stealth_malware,795,0.9635220125786164,0.0,0.03647798742138365,0.0,0.03647798742138365
scanning,target known,probe_access,100000,0.57985,0.41586,0.00396,0.00033,0.42048
xss,target known,application,100000,0.00988,0.94657,0.03182,0.01173,1.00185
unseen::injection,target unseen,,76356,0.24402797422599404,,0.6055974645083556,0.15037456126565038,0.9066478076379066
benign_diagnostic,benign diagnostic,,100000,0.29827,,0.58136,0.12037,0.8221
