class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.4336628817541112,0.88606,0.5823212407991588,,0.88606,0.6637274999999999,0.70965,0.04348,0.59194,2e-05,0.88606
ddos,flood,False,False,100000,0.9983368066688041,0.99642,0.9973774823830878,0.9867594989437353,0.99492,0.9908229471136849,-0.006554535269402861,0.99605,0.9844124999999999,0.99605,0.00036,0.00589,0.0,0.0561
password,probe_access,False,False,100000,0.9981510169406826,0.9987,0.9984254330059233,0.999389858811188,0.93364,0.9653967252780205,-0.033028707727902895,0.93364,0.9988675,0.00112,0.93364,0.00117,0.0,0.00224
scanning,probe_access,False,False,100000,0.9997497397293185,0.99871,0.9992295993916837,0.9992796599995197,0.41617,0.5876156925314338,-0.4116139068602499,0.41619,0.7504,0.00341,0.41619,0.00088,0.0,0.99411
xss,application,False,True,100000,0.9317747957005426,0.99084,0.9604001182520028,0.9655123774596234,0.9583,0.9618926691191602,0.0014925508671573828,0.9583,0.9711400000000001,0.04306,0.00049,0.9583,0.0,0.07189
dos,flood,False,False,40692,0.9689168518571964,0.8250270323405092,0.8912013379169377,0.9112107183971392,0.9142337560208394,0.9127197340497307,0.02151839613279305,0.9142583308758478,0.9665106163373636,0.9142583308758478,0.0,0.06401749729676595,0.0,0.06994003735377961
backdoor,stealth_malware,True,False,40678,0.9996310598420937,0.9991150007374994,0.9993729636687773,1.0,0.9970008358326368,0.9984981657926484,-0.0008747978761288744,0.9970008358326368,0.9988200009833325,0.0004424996312503073,0.0,0.00034416637986135014,0.9970008358326368,0.003933330055558287
mitm,stealth_malware,True,False,1204,0.773109243697479,0.7641196013289037,0.7685881370091896,0.0,0.0,0.0,-0.7685881370091896,0.0,0.956187707641196,0.03322259136212625,0.0,0.008305647840531562,0.0,0.13372093023255813
ransomware,stealth_malware,True,False,795,0.9767741935483871,0.9522012578616352,0.9643312101910828,0.0,0.0,0.0,-0.9643312101910828,0.0,0.9553459119496857,0.03647798742138365,0.0,0.0,0.0,0.1421383647798742
macro_avg,,,,483369,0.955805463498063,0.9406416115335684,0.9473657852273356,0.7327690142014007,0.6517830739816846,0.6771182417355848,-0.2702475434917508,,,,,,,
tail_macro_avg,,,,42677,0.9165048323626532,0.9051452866426795,0.9107641036230166,0.3333333333333333,0.33233361194421224,0.3328327219308828,-0.5779313816921338,,,,,,,
weighted_avg,,,,483369,0.9818559976027573,0.9813579273805312,0.9809328794171022,0.9782404872352656,0.8442018416572018,0.8861348228998859,-0.09479805651721636,,,,,,,
