true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
xss,application,flood,4306,100000,0.2710171853228054,0.9941941477008824,0.2710171853228054,-4.330913543701172,-4.300111770629883,-1.6186294555664062,-1.3004237413406372
dos,flood,application,2605,40692,0.10633397312859885,0.0,0.0,-1.0457011461257935,-1.3004237413406372,-4.385749340057373,-4.300111770629883
ddos,flood,application,589,100000,0.599320882852292,0.042444821731748725,0.042444821731748725,-1.7008024454116821,-1.3004237413406372,-4.637186527252197,-4.300111770629883
scanning,probe_access,flood,341,100000,0.020527859237536656,0.9090909090909091,0.020527859237536656,-4.192167282104492,-5.464422702789307,-2.5099427700042725,-1.3004237413406372
password,probe_access,application,117,100000,0.23076923076923078,0.5897435897435898,0.23076923076923078,-4.736877918243408,-5.464422702789307,-4.565590858459473,-4.300111770629883
password,probe_access,flood,112,100000,0.7053571428571429,0.9821428571428571,0.7053571428571429,-5.7233781814575195,-5.464422702789307,-2.167053699493408,-1.3004237413406372
scanning,probe_access,application,88,100000,0.29545454545454547,0.375,0.29545454545454547,-4.297029495239258,-5.464422702789307,-4.561349868774414,-4.300111770629883
xss,application,probe_access,49,100000,0.12244897959183673,0.0,0.0,-3.9108293056488037,-4.300111770629883,-6.091937065124512,-5.464422702789307
mitm,stealth_malware,flood,40,1204,0.0,1.0,0.0,-3.962404251098633,-5.455166339874268,-1.7380797863006592,-1.3004237413406372
ddos,flood,probe_access,36,100000,0.3888888888888889,0.0,0.0,-0.7907177805900574,-1.3004237413406372,-6.042583465576172,-5.464422702789307
ransomware,stealth_malware,flood,29,795,0.0,1.0,0.0,-4.283004283905029,-5.455166339874268,-3.2906203269958496,-1.3004237413406372
backdoor,stealth_malware,flood,18,40678,0.0,1.0,0.0,-3.1454036235809326,-5.455166339874268,-1.6800215244293213,-1.3004237413406372
backdoor,stealth_malware,application,14,40678,0.0,0.0,0.0,-3.0822033882141113,-5.455166339874268,-4.702044486999512,-4.300111770629883
mitm,stealth_malware,application,10,1204,0.0,0.3,0.0,-3.9707024097442627,-5.455166339874268,-4.559796333312988,-4.300111770629883
