split,model,class,precision,recall,f1,support,helpful,harmful
cal,global,backdoor,0.9999584527815862,0.9993356585284836,0.9996469586526281,24084,0,0
cal,global,benign,0.7683736513693787,0.9999,0.8689795421757948,50000,0,0
cal,global,ddos,0.9955051670512692,0.99222,0.9938598687834928,50000,0,0
cal,global,dos,0.9992601361349511,0.9824689023059576,0.9907933829732605,13747,0,0
cal,global,injection,0.9891468642366875,0.9380566325931148,0.9629245465071401,42555,0,0
cal,global,mitm,0.6596583442838371,0.8366666666666667,0.7376928728875827,600,0,0
cal,global,password,0.9970997099709971,0.997,0.9970498524926247,50000,0,0
cal,global,ransomware,0.9953271028037384,0.9530201342281879,0.9737142857142858,447,0,0
cal,global,scanning,0.9667590027700831,0.038368513632365875,0.07380776144654753,9096,0,0
cal,global,xss,0.9946901887692075,0.91792,0.9547643565180308,50000,0,0
cal,expert1,backdoor,0.9999169573160605,0.9999169573160605,0.9999169573160605,24084,14,0
cal,expert1,benign,0.9464411423352803,0.99488,0.9700562602989499,50000,0,251
cal,expert1,ddos,0.9911831287978077,0.99828,0.994718906315391,50000,311,8
cal,expert1,dos,0.9960305572198922,0.9674110715065105,0.9815122329237241,13747,27,234
cal,expert1,injection,0.9892528778131086,0.943085418869698,0.9656176314903037,42555,317,103
cal,expert1,mitm,0.2705382436260623,0.955,0.4216335540838852,600,82,11
cal,expert1,password,0.9953906016162826,0.99768,0.9965339859161964,50000,87,53
cal,expert1,ransomware,0.44490644490644493,0.9574944071588367,0.6075230660042583,447,3,1
cal,expert1,scanning,0.9458974742191003,0.6958003518029904,0.801798948501932,9096,5986,6
cal,expert1,xss,0.9897427646266165,0.98422,0.9869736565016396,50000,3523,208
cal,expert2,backdoor,0.9999584803819805,1.0,0.9999792397600116,24084,16,0
cal,expert2,benign,0.9766826687567356,0.9969,0.9866877814618696,50000,0,150
cal,expert2,ddos,0.9936749271718743,0.99602,0.994846081623684,50000,242,52
cal,expert2,dos,0.9987238195330681,0.967774787226304,0.9830057632628935,13747,11,213
cal,expert2,injection,0.985356578427499,0.9376806485724357,0.960927622785999,42555,239,255
cal,expert2,mitm,0.24503311258278146,0.9866666666666667,0.3925729442970822,600,90,0
cal,expert2,password,0.9978564416932107,0.9962,0.9970275328522674,50000,44,84
cal,expert2,ransomware,0.5844686648501363,0.959731543624161,0.7265029635901779,447,4,1
cal,expert2,scanning,0.8627683676772036,0.8791776605101144,0.8708957255649333,9096,7652,4
cal,expert2,xss,0.986833000936139,0.96982,0.9782525368678004,50000,2752,157
cal,expert3,backdoor,0.9999584734853204,0.9998339146321209,0.999896190179591,24084,12,0
cal,expert3,benign,0.9496562261268143,0.99448,0.9715513872606487,50000,0,271
cal,expert3,ddos,0.9910126657785377,0.99682,0.9939078499995014,50000,271,41
cal,expert3,dos,0.8713324018798425,0.9980359351131156,0.9303902620960905,13747,214,0
cal,expert3,injection,0.9873659177050561,0.9365996945129832,0.9613130411712212,42555,214,276
cal,expert3,mitm,0.27512977819726286,0.9716666666666667,0.4288341301949246,600,84,3
cal,expert3,password,0.9970375115096681,0.9962,0.9966185798035174,50000,45,85
cal,expert3,ransomware,0.5294117647058824,0.9664429530201343,0.684085510688836,447,7,1
cal,expert3,scanning,0.9643529923199536,0.7316402814423922,0.83203100581359,9096,6312,6
cal,expert3,xss,0.988013698630137,0.94628,0.9666966328865643,50000,1590,172
cal,expert4,backdoor,0.9998339422118897,1.0,0.9999169642115752,24084,16,0
