split,model,class,precision,recall,f1,support,helpful,harmful
cal,expert4,benign,0.95045629647941,0.92276,0.9364033975015983,50000,0,3857
cal,expert4,ddos,0.9965358430116139,0.99534,0.9959375625375225,50000,236,80
cal,expert4,dos,0.9993286588094883,0.9745398996144613,0.9867786248296689,13747,10,119
cal,expert4,injection,0.8204313102176174,0.9824932440371285,0.8941785362932546,42555,1904,13
cal,expert4,mitm,0.42333088774761557,0.9616666666666667,0.5878757004584819,600,81,6
cal,expert4,password,0.9988954344624448,0.97668,0.9876628104522288,50000,49,1065
cal,expert4,ransomware,0.5235792019347038,0.9686800894854586,0.6797488226059655,447,8,1
cal,expert4,scanning,0.983863996542285,0.7507695690413368,0.8516555465486063,9096,6487,7
cal,expert4,xss,0.9972351443869042,0.90892,0.9510316829196835,50000,214,664
cal,expert5,backdoor,0.9999584803819805,1.0,0.9999792397600116,24084,16,0
cal,expert5,benign,0.9439952934031731,0.99482,0.9687414793752191,50000,0,254
cal,expert5,ddos,0.9901460216549121,0.99678,0.9934519360143519,50000,269,41
cal,expert5,dos,0.9926915694670013,0.9781770568123954,0.9853808668889459,13747,25,84
cal,expert5,injection,0.9881649494724878,0.9398190576900481,0.9633858457387869,42555,208,133
cal,expert5,mitm,0.26077298978231894,0.9783333333333334,0.41178533847772714,600,89,4
cal,expert5,password,0.9965602063876168,0.99662,0.9965901022969311,50000,50,69
cal,expert5,ransomware,0.5765645805592543,0.9686800894854586,0.7228714524207012,447,8,1
cal,expert5,scanning,0.9680867307985952,0.697009674582234,0.8104825822946629,9096,5998,7
cal,expert5,xss,0.9884840702993339,0.9854,0.9869396258162734,50000,3534,160
cal,expert6,backdoor,0.9999584803819805,1.0,0.9999792397600116,24084,16,0
cal,expert6,benign,0.9472427515633883,0.99972,0.9727741558820667,50000,3,12
cal,expert6,ddos,0.9937437736600917,0.99752,0.9956283062181854,50000,282,17
cal,expert6,dos,0.9696124696124696,0.9864697752236852,0.9779684851981394,13747,58,3
cal,expert6,injection,0.9920135346950961,0.9369521795323699,0.9636970077826654,42555,187,234
cal,expert6,mitm,0.2914775592536561,0.9633333333333334,0.4475416182733256,600,78,2
cal,expert6,password,0.9949968107159942,0.99834,0.9966656017889944,50000,70,3
cal,expert6,ransomware,0.5162846803377563,0.9574944071588367,0.670846394984326,447,2,0
cal,expert6,scanning,0.9671633154925503,0.7350483729111698,0.8352801549128616,9096,6343,6
cal,expert6,xss,0.9902250465473974,0.97858,0.9843680843358951,50000,3063,30
cal,expert7,backdoor,0.9998754514883547,1.0,0.999937721865853,24084,16,0
cal,expert7,benign,0.9369269020387867,0.94208,0.9394963849414111,50000,0,2891
cal,expert7,ddos,0.9945594559455946,0.99446,0.9945097254862744,50000,300,188
cal,expert7,dos,0.9984513274336283,0.9848694260565941,0.9916138719009777,13747,39,6
cal,expert7,injection,0.9997693135797406,0.91657854541182,0.9563682281258812,42555,226,1140
cal,expert7,mitm,0.32252747252747255,0.9783333333333334,0.48512396694214877,600,87,2
cal,expert7,password,0.99646600538131,0.99252,0.9944890883950221,50000,48,272
cal,expert7,ransomware,0.484375,0.970917225950783,0.6463142218912882,447,8,0
cal,expert7,scanning,0.9774946218765513,0.6494063324538258,0.7803685844507563,9096,5568,10
cal,expert7,xss,0.9080073405163799,0.99948,0.9515504060473928,50000,4078,0
eval,global,backdoor,0.998327633976487,0.9991506370222333,0.9987389659520807,40030,0,0
eval,global,benign,0.9664935534438341,0.8631576162821457,0.9119074559634021,1474302,0,0
eval,global,ddos,0.9804920600305307,0.9571890301728309,0.9687004211144844,103338,0,0
eval,global,dos,0.9839860826121867,0.9822335025380711,0.9831090114983511,22458,0,0
eval,global,injection,0.9037537537537538,0.9610689349842505,0.9315305555360145,68891,0,0
eval,global,mitm,0.034977932942493906,0.9147286821705426,0.06737937379056562,1161,0,0
eval,global,password,0.8050854592910668,0.9972173632739356,0.8909104384376754,210951,0,0
eval,global,ransomware,0.07560378018900946,0.9139633286318759,0.1396551724137931,709,0,0
eval,global,scanning,0.900398406374502,0.07497097362746724,0.13841678150359824,6029,0,0
eval,global,xss,0.7356565373630294,0.8936438139442903,0.8069904524044945,343854,0,0
eval,expert1,backdoor,0.9951003556594623,0.9995003747189608,0.997295512045565,40030,14,0
eval,expert1,benign,0.9979891524298659,0.7995098697553147,0.8877915007780384,1474302,20732,114568
eval,expert1,ddos,0.9495711286237513,0.9759526989103718,0.9625811870367984,103338,2976,1037
eval,expert1,dos,0.9324434525086913,0.9673612966426218,0.9495814848001398,22458,36,370
eval,expert1,injection,0.8244885821552034,0.9659026578217764,0.8896108236741133,68891,485,152
eval,expert1,mitm,0.01621283076879279,0.9810508182601206,0.03189850729548828,1161,87,10
eval,expert1,password,0.7926596453705761,0.9979047266900845,0.8835189833040938,210951,330,185
eval,expert1,ransomware,0.04768924596447262,0.9125528913963329,0.09064163631269263,709,0,1
eval,expert1,scanning,0.07973638331704887,0.6903300713219439,0.14296018960601792,6029,3710,0
eval,expert1,xss,0.7673596782614445,0.9788369482396598,0.8602925859233121,343854,31257,1963
eval,expert2,backdoor,0.9963641796991732,0.9995003747189608,0.9979298131843464,40030,14,0
eval,expert2,benign,0.9991936631813482,0.7951294917866217,0.8855577072636958,1474302,19888,120182
eval,expert2,ddos,0.9629983107302036,0.9764268710445335,0.9696661012795688,103338,2931,943
eval,expert2,dos,0.9732838091828515,0.9684299581440912,0.970850816891349,22458,24,334
eval,expert2,injection,0.7649484297940656,0.9613737643523828,0.8519862097355151,68891,397,376
eval,expert2,mitm,0.014304000397678552,0.9913867355727821,0.0282011074631254,1161,90,1
eval,expert2,password,0.8079709587608251,0.9960038113116316,0.8921878151572734,210951,154,410
eval,expert2,ransomware,0.06633956863947664,0.9153737658674189,0.1237133053755242,709,2,1
eval,expert2,scanning,0.0910140562248996,0.902139658318129,0.16534679049689158,6029,4987,0
eval,expert2,xss,0.7565784629544409,0.9562459648571777,0.8447743861551228,343854,23005,1479
eval,expert3,backdoor,0.9981538768585969,0.9995003747189608,0.9988266719924108,40030,14,0
eval,expert3,benign,0.9981631376031973,0.8049911076563689,0.891229856650769,1474302,21660,107415
eval,expert3,ddos,0.9525390477627707,0.9772977994542182,0.9647596029843047,103338,2965,887
eval,expert3,dos,0.29839300217017933,0.9979517321221836,0.4594176309612881,22458,353,0
eval,expert3,injection,0.7571415491668193,0.9602996037218214,0.8467046785309759,68891,348,401
eval,expert3,mitm,0.03166634485421896,0.9888027562446167,0.061367402576575615,1161,87,1
eval,expert3,password,0.8073364545206647,0.9964731146095539,0.8919889162822868,210951,173,330
eval,expert3,ransomware,0.05078416728902166,0.9590973201692524,0.09646074189658842,709,32,0
eval,expert3,scanning,0.09792613439756395,0.7040968651517665,0.17193892016687592,6029,3793,0
eval,expert3,xss,0.7594318211524705,0.9293362880757531,0.8358371357912316,343854,13834,1561
eval,expert4,backdoor,0.9949778728059271,0.9997501873594804,0.997358321287943,40030,24,0
eval,expert4,benign,0.9981434565026688,0.7030859349034323,0.8250276286408221,1474302,20127,256121
eval,expert4,ddos,0.9730292857969672,0.9761365615746386,0.9745804469435668,103338,2909,951
eval,expert4,dos,0.6473981599266337,0.9744411790898566,0.777945646184746,22458,15,190
eval,expert4,injection,0.241079385574042,0.9973871768445806,0.38830194543733487,68891,2529,27
eval,expert4,mitm,0.019634114918835353,0.9844961240310077,0.038500404203718676,1161,85,4
eval,expert4,password,0.805526061022454,0.9781892477399965,0.8835007781742982,210951,186,4200
eval,expert4,ransomware,0.015751109475959438,0.9661495063469676,0.030996877686773158,709,37,0
eval,expert4,scanning,0.3546633207862819,0.7032675402222591,0.47153024911032027,6029,3793,5
eval,expert4,xss,0.7595383079610681,0.8851053063218691,0.8175283458285094,343854,2133,5069
eval,expert5,backdoor,0.9973079415723616,0.9995003747189608,0.9984029545341119,40030,14,0
eval,expert5,benign,0.9981085685049684,0.8031997514756135,0.890109200381102,1474302,20422,108818
eval,expert5,ddos,0.9505531595724733,0.9811105304921713,0.9655901484776046,103338,3044,572
eval,expert5,dos,0.6178793243964814,0.9789829904711016,0.7576023845212867,22458,41,114
eval,expert5,injection,0.7562621082621083,0.963289834666357,0.8473132832400202,68891,339,186
eval,expert5,mitm,0.019528002578850037,0.9913867355727821,0.038301554024824463,1161,90,1
eval,expert5,password,0.8071874352301776,0.9969281965954179,0.892080196992931,210951,193,254
eval,expert5,ransomware,0.015472882925617222,0.9661495063469676,0.03045798132503335,709,37,0
eval,expert5,scanning,0.3290091524074811,0.6856858517167026,0.4446595676024524,6029,3682,0
eval,expert5,xss,0.7682743441468783,0.9806225898200981,0.8615569761915712,343854,31576,1668
eval,expert6,backdoor,0.9970097184151507,0.9995003747189608,0.998253493013972,40030,14,0
eval,expert6,benign,0.9960189282397421,0.8096373741607893,0.8932089109122046,1474302,19894,98799
eval,expert6,ddos,0.9646450598041378,0.9732237898933597,0.9689154363062694,103338,2944,1287
eval,expert6,dos,0.7996104739233932,0.9871760619823671,0.8835485413677666,22458,112,1
eval,expert6,injection,0.8716641639663848,0.9605754017215602,0.9139625299532488,68891,333,367
eval,expert6,mitm,0.017564167862820453,0.9801894918173988,0.034509946627850556,1161,79,3
eval,expert6,password,0.8062932859620443,0.9983503278012429,0.8921020862014191,210951,247,8
eval,expert6,ransomware,0.06604831311792886,0.9139633286318759,0.12319391634980989,709,0,0
eval,expert6,scanning,0.07964533240407326,0.6823685519986731,0.1426416795242966,6029,3662,0
eval,expert6,xss,0.7612787106912493,0.9693067406515556,0.8527895403431115,343854,26232,215
eval,expert7,backdoor,0.9982535801606707,0.9995503372470647,0.9989015378470142,40030,16,0
eval,expert7,benign,0.9979171308902897,0.716888398713425,0.8343747458966503,1474302,20256,235901
eval,expert7,ddos,0.955630296811462,0.9733302366989878,0.9643990603576393,103338,2947,1279
eval,expert7,dos,0.9675304811432067,0.9858402351055303,0.9765995456650713,22458,84,3
eval,expert7,injection,0.979166348226159,0.9298747296453819,0.9538841818425481,68891,289,2438
eval,expert7,mitm,0.016821380003547565,0.9801894918173988,0.03307514568468167,1161,77,1
eval,expert7,password,0.8061402833384663,0.9926618029779427,0.8897306415188938,210951,179,1140
eval,expert7,ransomware,0.01563941686658055,0.9562764456981664,0.030775515762238713,709,30,0
eval,expert7,scanning,0.3396976241900648,0.6521811245646044,0.4467166553056124,6029,3484,4
eval,expert7,xss,0.5761077254168426,0.9996161161423163,0.7309485986972637,343854,36439,0
