expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,brute_force,target known,dos,67232,100000,0.67232
flood,ddos,target known,ddos,98895,100000,0.98895
flood,dos,target known,dos,52651,60594,0.8689144139683798
flood,infiltration,target known,ddos,4,37631,0.0001062953416066541
flood,unseen::bot,target unseen,ddos,5,41542,0.00012036011747147465
flood,benign_diagnostic,benign diagnostic,ddos,192,100000,0.00192
brute_force,brute_force,target known,brute_force,94683,100000,0.94683
brute_force,dos,target known,brute_force,21110,60594,0.3483843284813678
tail,ddos,target known,infiltration,66949,100000,0.66949
tail,dos,target known,infiltration,2152,60594,0.03551506749843219
tail,infiltration,target known,infiltration,35991,37631,0.9564189099412719
tail,web_attacks,target known,infiltration,9,509,0.01768172888015717
tail,web_attacks,target known,web_attacks,229,509,0.449901768172888
tail,unseen::bot,target unseen,infiltration,41524,41542,0.9995667035771026
tail,benign_diagnostic,benign diagnostic,infiltration,70292,100000,0.70292
tail,benign_diagnostic,benign diagnostic,web_attacks,32,100000,0.00032
