role,branch,count,share_of_role,accuracy
known,all_out,12763,0.04272362703943977,0.0
known,argmin,218740,0.7322233157256958,0.567349364542379
known,owner_only,67231,0.22505305723486446,0.9484761493953682
known,ALL,298734,1.0,0.628883890015867
unseen,argmin,41528,0.9996629916710799,0.0
unseen,owner_only,14,0.000337008328920129,0.0
unseen,ALL,41542,1.0,0.0
benign,all_out,3942,0.03942,0.0
benign,argmin,67872,0.67872,0.9976278877887789
benign,owner_only,28186,0.28186,0.9865181295678705
benign,ALL,100000,1.0,0.95517
