true_class,benign,brute_force,ddos,dos,infiltration,unseen
benign,95517,0,161,0,380,3942
brute_force,0,27451,0,67232,0,5317
ddos,185,0,98895,0,0,920
dos,142,0,0,52651,2152,5649
infiltration,27997,0,4,0,8872,758
unseen,41537,0,5,0,0,0
web_attacks,383,0,0,0,7,119
