id_quantile_tau,threshold,id_retain,unseen_attack_detect,unseen_attack_in,friday_benign_false_ood
0.01,4.137308120727539,0.9899984001204615,0.14652769361289542,0.8534723063871046,0.007467392065865732
0.02,5.283413410186768,0.9799991530049502,0.1834305798431359,0.8165694201568641,0.014299415605907237
0.05,6.104827880859375,0.9499990588943892,0.25515175649704797,0.744848243502952,0.042183155244930944
0.1,7.565325736999512,0.8999981177887783,0.4297937912287688,0.5702062087712312,0.09485109909091569
0.2,8.333734512329102,0.7999985883415837,0.6288207490001212,0.3711792509998788,0.21643599326461047
0.3,8.594033241271973,0.70098251425775,0.7070242568000416,0.29297574319995845,0.31692568604097765
0.4,8.721761703491211,0.6000018822112217,0.7462991498865938,0.25370085011340615,0.4087883787956022
0.5,8.775574684143066,0.5000023527640272,0.7609501878560174,0.23904981214398255,0.5267760724561704
0.6,8.829367637634277,0.4000028233168326,0.7812282493896844,0.21877175061031565,0.642229539563166
0.7,8.843969345092773,0.30000564663366525,0.7882923282026421,0.2117076717973579,0.753957766111907
0.8,8.855618476867676,0.2000014116584163,0.7935696106099693,0.20643038939003064,0.8658043693061438
0.9,8.952448844909668,0.10000188221122175,0.8196166698408851,0.18038333015911492,0.9756313219772282
