K,beta,tune_expert_balanced_nll
2,0.0,0.874182
2,0.5,1.815325
2,1.0,3.539238
4,0.0,0.987861
4,0.5,2.239617
4,1.0,4.377515
8,0.0,1.111144
8,0.5,2.534514
8,1.0,4.978817
