class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
backdoor,40030,39996,8,0,26,0
benign,1474302,1263926,0,8629,201747,4224
ddos,103338,98914,969,0,3455,92
dos,22458,21984,13,75,386,170
injection,68891,66209,92,0,2590,144
mitm,1161,1062,2,0,97,0
password,210951,210364,1,0,586,2
ransomware,709,648,0,0,61,3
scanning,6029,452,3863,0,1714,1
xss,343854,307283,27838,0,8733,1407
