expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,260350,normgain,0.9861,896,2723,0.7315,0.8361
2,260350,normgain,0.9718,1097,6245,0.7274,0.8158
3,260350,normgain,0.9767,770,5305,0.6758,0.8725
4,260350,normgain,0.9621,1372,8502,0.6886,0.8169
5,260350,normgain,0.9877,606,2596,0.7438,0.831
6,260350,normgain,0.9793,651,4737,0.7186,0.8209
7,260350,normgain,0.9721,1290,5985,0.8156,0.8169
