expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.7834,0.002,0.5407
2,0.6211,0.0004,0.7119
3,0.2936,0.0001,1.2142
4,0.4677,0.0002,0.8104
5,0.8357,0.0065,0.5196
6,0.7431,0.0175,0.5557
7,0.4055,0.0008,0.8903
