expert,accepted,helpful,harmful,precision,net
1,151759,707,715,0.4972,-8
2,2149,1240,93,0.9302,1147
3,2996,515,51,0.9099,464
4,7210,170,3,0.9827,167
5,84883,28238,7795,0.7837,20443
6,21277,849,39,0.9561,810
7,1441,1067,8,0.9926,1059
