class,fp_global,fp_final,fp_delta,tp_global,tp_final
backdoor,67,67,0,39996,40004
benign,44117,9517,-34600,1272555,1263926
ddos,1968,1969,1,98914,99883
dos,359,7467,7108,22059,21997
injection,7051,7064,13,66209,66301
mitm,29300,31020,1720,1062,1064
password,50930,50938,8,210364,210365
ransomware,7923,7923,0,648,648
scanning,50,790,740,452,4315
xss,110416,111344,928,307283,335121
