a,b,agreement
global,e1,0.9703
global,e2,0.9684
global,e3,0.9705
global,e4,0.9496
global,e5,0.9708
global,e6,0.9731
global,e7,0.9542
e1,e2,0.988
e1,e3,0.9853
e1,e4,0.9603
e1,e5,0.9945
e1,e6,0.9901
e1,e7,0.9747
e2,e3,0.9838
e2,e4,0.9611
e2,e5,0.9899
e2,e6,0.9868
e2,e7,0.9696
e3,e4,0.9615
e3,e5,0.9875
e3,e6,0.985
e3,e7,0.9679
e4,e5,0.9611
e4,e6,0.9577
e4,e7,0.9498
e5,e6,0.9914
e5,e7,0.9758
e6,e7,0.9743
