class,rows,proposed,accepted
backdoor,40030,36814,36808
benign,1474302,39112,30168
ddos,103338,86489,84963
dos,22458,20290,14168
injection,68891,9973,9935
mitm,1161,2,2
password,210951,28631,28584
ransomware,709,10,3
scanning,6029,5797,5706
xss,343854,61566,61378
